Site,Replicate,Crucian,qPCR,copy_no,Vol_filtered,No_filters,Qubit,Latitude,Longitude,Duckweed,Sediment,Algal
POHI,5,Y,N,0,1,1,0.15,52.879638,1.124722,N,N,N
POFA4,1,Y,Y,8,1,1,14.40,52.898555,1.168956,N,N,N
POFA4,2,Y,N,0,1,1,0.00,52.898628,1.169018,N,N,N
POFA4,3,Y,Y,49,1,1,83.20,52.898668,1.169083,N,N,N
POFA4,4,Y,Y,7,1,1,33.60,52.898835,1.169096,N,N,N
POFA4,5,Y,Y,79,1,1,66.00,52.898692,1.169415,N,N,N
RAIL,1,Y,Y,39,1,1,6.50,52.905572,1.155955,Y,Y,N
RAIL,2,Y,N,0,1,1,39.60,52.905873,1.155766,Y,Y,N
RAIL,3,Y,Y,153,1,1,0.00,52.905797,1.155609,Y,Y,N
RAIL,4,Y,Y,230,1,1,24.00,52.905958,1.155969,Y,Y,N
RAIL,5,Y,Y,43,1,1,58.00,52.90598,1.156049,Y,Y,N
MYST,1,Y,Y,5,1,1,114.00,52.910573,1.159902,Y,Y,N
MYST,2,Y,Y,5,1,1,0.00,52.910499,1.159595,Y,Y,N
MYST,3,Y,Y,9,1,1,33.40,52.910412,1.159529,Y,Y,N
MYST,4,Y,Y,7,1,1,31.80,52.910364,1.159457,Y,Y,N
MYST,5,Y,Y,6,1,1,4.96,52.910519,1.159655,Y,Y,N
CAKE,1,Y,Y,2,0.25,2,1.00,52.769146,0.755527,N,N,Y
CAKE,2,Y,Y,2,0.25,2,0.19,52.769267,0.75549,N,N,Y
CAKE,3,Y,N,0,0.25,2,0.52,52.769386,0.755748,N,N,Y
CAKE,4,Y,Y,2,0.25,2,4.02,52.76929,0.755824,N,N,Y
CAKE,5,Y,Y,2,0.25,2,1.32,52.769183,0.75585,N,N,Y
